ensembl_gene_id	go_id
ZK1151.1	GO:0045211
ZK1151.1	GO:0005230
ZK1151.1	GO:0007165
ZK1151.1	GO:0040010
ZK1151.1	GO:0050832
ZK1151.1	GO:0005622
ZK1151.1	GO:0006096
ZK1151.1	GO:0004618
F55A3.3	GO:0009987
F55A3.3	GO:0016021
E03H4.4	GO:0040010
E03H4.4	GO:0002009
E03H4.4	GO:0040011
E03H4.4	GO:0040035
E03H4.4	GO:0000003
E03H4.4	GO:0040015
E03H4.4	GO:0040025
E03H4.4	GO:0006915
E03H4.4	GO:0005634
E03H4.4	GO:0005737
M04F3.3	GO:0006468
M04F3.3	GO:0016021
M04F3.3	GO:0004672
M04F3.3	GO:0005524
M04F3.3	GO:0016772
C50F2.5	GO:0006470
C50F2.5	GO:0016021
C50F2.5	GO:0004725
F36A2.10	GO:0055085
F36A2.10	GO:0016020
F36A2.10	GO:0016021
F36A2.10	GO:0009792
F36A2.10	GO:0040007
F36A2.10	GO:0002119
C04F1.3	GO:0000003
C04F1.3	GO:0040010
C04F1.3	GO:0009792
C04F1.3	GO:0042127
C04F1.3	GO:0040020
C04F1.3	GO:0006898
C04F1.3	GO:0002009
C04F1.3	GO:0040035
C04F1.3	GO:0006915
C04F1.3	GO:0051302
C04F1.3	GO:0006997
C04F1.3	GO:0043631
C04F1.3	GO:0006355
C04F1.3	GO:0005737
C04F1.3	GO:0043186
C04F1.3	GO:0031379
C04F1.3	GO:0005634
C04F1.3	GO:0005515
C04F1.3	GO:0004652
C04F1.3	GO:0003700
C04F1.3	GO:0043565
C04F1.3	GO:0008270
C04F1.3	GO:0003677
M01D7.1	GO:0002009
M01D7.1	GO:0018991
M01D7.1	GO:0040011
M01D7.1	GO:0005515
F36D1.9	GO:0040007
F36D1.9	GO:0002119
F36D1.9	GO:0009792
T26E3.2	GO:0006915
T26E3.2	GO:0009792
T26E3.2	GO:0045132
T26E3.2	GO:0008340
T26E3.2	GO:0043053
T26E3.2	GO:0042771
T26E3.2	GO:0006950
T26E3.2	GO:0006355
T26E3.2	GO:0005634
T26E3.2	GO:0005730
T26E3.2	GO:0005654
T26E3.2	GO:0003700
T26E3.2	GO:0003677
T26E3.2	GO:0008270
T26E3.2	GO:0016787
ZK1225.2	GO:0016021
ZK1225.2	GO:0016020
ZK1225.2	GO:0008375
F56G4.4	GO:0040010
F56G4.4	GO:0009792
F56G4.4	GO:0002119
F56G4.4	GO:0040007
F56G4.4	GO:0006898
F56G4.4	GO:0000003
F56G4.4	GO:0007091
F56G4.4	GO:0007052
F56G4.4	GO:0007067
F56G4.4	GO:0006469
F56G4.4	GO:0006200
F56G4.4	GO:0005737
F56G4.4	GO:0000166
F56G4.4	GO:0017111
F56G4.4	GO:0005524
F56G4.4	GO:0019901
F56G4.4	GO:0016887
F56G4.4	GO:0003676
F56G4.4	GO:0008270
D2005.3	GO:0006139
D2005.3	GO:0040010
D2005.3	GO:0005622
D2005.3	GO:0003676
D2005.3	GO:0008408
D2005.3	GO:0003677
T22C1.3	GO:0019915
T22C1.3	GO:0006506
T22C1.3	GO:0005789
T22C1.3	GO:0016021
T22C1.3	GO:0003824
T22C1.3	GO:0008081
T22C1.3	GO:0046872
C54G4.2	GO:0016021
C54G4.2	GO:0042302
W04C9.4	GO:0040010
W04C9.4	GO:0009792
W04C9.4	GO:0007276
W04C9.4	
Y51F10.3	GO:0018991
Y51F10.3	GO:0016311
Y51F10.3	GO:0046662
Y51F10.3	GO:0031430
Y51F10.3	GO:0031674
Y51F10.3	GO:0016791
Y51F10.3	GO:0030274
Y51F10.3	GO:0030674
Y51F10.3	GO:0019900
Y51F10.3	GO:0005515
H27M09.5	
F46F11.9	GO:0008104
F46F11.9	GO:0008440
Y54E5A.7	GO:0009792
Y54E5A.7	GO:0006486
Y54E5A.7	GO:0061062
Y54E5A.7	GO:0045995
Y54E5A.7	GO:0030968
Y54E5A.7	GO:0005783
Y54E5A.7	GO:0016757
Y54E5A.7	GO:0003980
Y54E5A.7	GO:0005515
Y54E5A.7	GO:0016021
F57C9.7	GO:0044297
F57C9.7	GO:0043005
Y106G6D.6	GO:0009792
Y106G6D.6	GO:0007638
Y106G6D.6	GO:0048666
Y106G6D.6	GO:0002119
Y106G6D.6	GO:0040011
Y106G6D.6	GO:0048644
C34G6.2	GO:0008152
C34G6.2	GO:0016491
W10C8.5	GO:0006629
W10C8.5	GO:0006633
W10C8.5	GO:0055114
W10C8.5	GO:0016021
W10C8.5	GO:0016705
W10C8.5	GO:0016301
W10C8.5	GO:0016772
W10C8.5	GO:0006281
W10C8.5	GO:0004519
F36H2.3	
F36H2.3	GO:0007156
F36H2.3	GO:0007155
F36H2.3	GO:0009792
F36H2.3	GO:0010171
F36H2.3	GO:0040011
F36H2.3	GO:0000003
F36H2.3	GO:0043053
F36H2.3	GO:0006898
F36H2.3	GO:0002119
F36H2.3	GO:0007413
F36H2.3	GO:0009790
F36H2.3	GO:0016477
F36H2.3	GO:0007016
F36H2.3	GO:0003384
F36H2.3	GO:0042074
F36H2.3	GO:0000132
