ensembl_gene_id	entrezgene
F33H2.6	173369
Y48G1C.5	171595
Y47G6A.28	171913
C18E3.3	172016
F22D6.12	172447
C01A2.3	173207
C43H8.2	172953
T02G6.4	187999
F28B3.1	172113
Y87G2A.11	190778
F27D4.6	172540
B0041.6	181823
C03D6.6	182160
F31C3.4	173376
Y52B11A.20	NA
F32H2.11	3564911
ZK909.5	191462
Y73E7A.9	3565128
Y71A12B.3	173258
Y71A12B.3	173259
Y87G2A.7	173226
F55F8.6	3565409
C49A1.1	183585
B0207.11	181840
W02D9.8	189122
C53D5.3	183757
Y40B1B.5	173213
T23D8.4	172858
F59A3.9	172207
F56H6.6	186417
T01G9.2	172609
T01H8.1	172647
C37A5.4	173283
K05C4.10	187022
C43E11.8	172023
T04D1.4	172079
T22C1.6	172568
D1081.4	183928
F22G12.5	173181
F22G12.5	13182700
T24D1.3	172854
E03H4.3	184018
M01A10.2	172209
W03D8.10	171843
B0019.1	173146
F26A3.6	184955
C04F12.12	6418571
K05C4.5	173339
F56F4.4	186399
W09C3.8	189312
F26A3.5	184954
F18C12.3	172595
Y18H1A.7	171664
C31H5.6	172725
F41D3.2	185602
T22C1.12	3565093
T07D10.1	173130
C26C6.2	172505
F30F8.5	185130
F02E9.7	172627
Y54E10A.14	190260
F36F2.8	3565759
C35E7.6	183243
C10H11.9	172088
T08B2.8	188274
Y23H5B.12	13179543
T06G6.7	188199
B0511.3	182016
F35E2.5	185288
K04G2.12	7040148
C55B7.2	172360
F57C9.1	172101
F14B6.5	184447
B0205.11	181833
D1007.5	172060
C37A2.8	172404
C17F3.3	182736
F52F12.4	172844
C48B6.4	183570
Y110A7A.18	172152
F27D4.4	172538
F57C9.3	186447
C37A5.5	13182954
W04A8.5	173255
C34B7.2	172620
T07D10.3	188228
C03D6.1	182158
F36D1.1	173019
M05B5.2	187451
Y54E10A.9	171888
W04A8.9	13182878
Y53H1C.1	190250
C48E7.11	172319
Y71F9AL.4	171861
ZK1225.4	173185
C17H1.3	182746
W09C5.7	173236
T28F4.6	3565863
K07A12.2	172670
F15D3.8	184528
Y71F9AM.5	171866
Y95B8A.6	171674
C17H1.6	182748
T23B3.1	172388
Y119C1B.9	191030
W09C5.2	173233
C54C8.11	173114
C32E12.4	172163
Y47G6A.22	171925
C48B6.9	183573
T05F1.10	172810
Y92H12BR.7	190789
